analysis,n_positive_train,n_negative_train,scale_pos_weight,rule,ratio,repeat_index,fold_index,held_out_family
main_benchmark_cv,344,1032,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,0.0,0.0,
main_benchmark_cv,344,1032,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,0.0,1.0,
main_benchmark_cv,344,1032,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,0.0,2.0,
main_benchmark_cv,344,1032,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,0.0,3.0,
main_benchmark_cv,344,1032,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,0.0,4.0,
main_benchmark_cv,344,1032,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,1.0,0.0,
main_benchmark_cv,344,1032,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,1.0,1.0,
main_benchmark_cv,344,1032,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,1.0,2.0,
main_benchmark_cv,344,1032,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,1.0,3.0,
main_benchmark_cv,344,1032,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,1.0,4.0,
main_benchmark_cv,344,1032,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,2.0,0.0,
main_benchmark_cv,344,1032,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,2.0,1.0,
main_benchmark_cv,344,1032,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,2.0,2.0,
main_benchmark_cv,344,1032,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,2.0,3.0,
main_benchmark_cv,344,1032,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,2.0,4.0,
main_benchmark,430,1290,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,,,
negative_ratio_sensitivity,430,430,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,,,
negative_ratio_sensitivity_cv,344,344,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,0.0,0.0,
negative_ratio_sensitivity_cv,344,344,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,0.0,1.0,
negative_ratio_sensitivity_cv,344,344,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,0.0,2.0,
negative_ratio_sensitivity_cv,344,344,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,0.0,3.0,
negative_ratio_sensitivity_cv,344,344,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,0.0,4.0,
negative_ratio_sensitivity_cv,344,344,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,1.0,0.0,
negative_ratio_sensitivity_cv,344,344,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,1.0,1.0,
negative_ratio_sensitivity_cv,344,344,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,1.0,2.0,
negative_ratio_sensitivity_cv,344,344,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,1.0,3.0,
negative_ratio_sensitivity_cv,344,344,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,1.0,4.0,
negative_ratio_sensitivity_cv,344,344,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,2.0,0.0,
negative_ratio_sensitivity_cv,344,344,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,2.0,1.0,
negative_ratio_sensitivity_cv,344,344,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,2.0,2.0,
negative_ratio_sensitivity_cv,344,344,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,2.0,3.0,
negative_ratio_sensitivity_cv,344,344,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,2.0,4.0,
negative_ratio_sensitivity,430,860,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,,,
negative_ratio_sensitivity_cv,344,688,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,0.0,0.0,
negative_ratio_sensitivity_cv,344,688,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,0.0,1.0,
negative_ratio_sensitivity_cv,344,688,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,0.0,2.0,
negative_ratio_sensitivity_cv,344,688,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,0.0,3.0,
negative_ratio_sensitivity_cv,344,688,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,0.0,4.0,
negative_ratio_sensitivity_cv,344,688,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,1.0,0.0,
negative_ratio_sensitivity_cv,344,688,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,1.0,1.0,
negative_ratio_sensitivity_cv,344,688,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,1.0,2.0,
negative_ratio_sensitivity_cv,344,688,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,1.0,3.0,
negative_ratio_sensitivity_cv,344,688,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,1.0,4.0,
negative_ratio_sensitivity_cv,344,688,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,2.0,0.0,
negative_ratio_sensitivity_cv,344,688,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,2.0,1.0,
negative_ratio_sensitivity_cv,344,688,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,2.0,2.0,
negative_ratio_sensitivity_cv,344,688,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,2.0,3.0,
negative_ratio_sensitivity_cv,344,688,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,2.0,4.0,
